,Scene_Names,Scene_action,Scene_Characters,Scene_Dialogue,Contents
0,INT. TAXI CAB  MORNING 1,"DEADPOOL, in full DRESS REDS and MASK, quietly FIDGETS in theBACK SEAT of a TAXI CAB as it proceeds along a CITY FREEWAY. Deadpool adjusts the two KATANAS strapped to his back. Rolls  the WINDOWS up, down, up. Tries futilely to untwist theseatbelt, then LUNGES forward, locking it up. Rifles througha tourist booklet and tears out a HAUNTED SEGWAY TOUR coupon. The CABBIE, young, thin, brown, glances back and forth fromthe rear view to the road to the rear view.","['DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DEADPOOL']","['Kinda lonesome back here. back seat and front. His two katanas dont  cooperate, catching on the Plexiglas, stalling him midtorso.', 'Little help? The cabbie grabs Deadpools hand and pulls him through to thefront. Deadpools head rests upside down on the bench seatas he maneuvers his legs through. The cabbie turns the  helping hand into a HANDSHAKE, then turns down the Juice.', 'Pool. Deadpool. Dopinder is remarkably UNAFFECTED by the lunatic in his cab.', 'Why the fancy red suit, Mr. Pool?', 'Its like Christmas Day, Dopinder. Been waiting one thousand eight hundred twenty two days, three hours... and thirtysix minutes for this shit. Page 2119 Deadpool Final Shooting Script 111615 2. 1  DEADPOOL turns himself RIGHTSIDEUP in the front seat. He  is YOKED to the gills and ARMED to the teeth. TWIN KATANAS.  TWIN DESERT EAGLE .50 CALIBER PISTOLS. Deadpool grabs Dopinders OPEN BAG of CORN NUTS. Dopinderisnt quick enough to stop him. Deadpool gazes out thewindow onto the city  a teeming, sooty urban sprawl thatlooks almost... prepostapocalyptic. Deadpool turns up his MASK. Dopinder catches a GLIMPSE ofthe bottom of a SCARRED face. And quickly looks AWAY. Deadpool eats the CORN NUTS. CRUNCH. CRUNCH. Points.', 'Nice. Dopinder eyes his DAFFODIL DAYDREAM AIR FRESHENER and takes adeep breath through his nose.', 'Smells good, no?', 'Not the Daffodil Daydream. The girl. A PICTURE of a young INDIAN WOMAN is taped to the dash.', 'Ah yes. Gita. She is quite lovely. She  was supposed to make me a very agreeablewife. Mom and Dad chose her rather  excellently. But Gitas heart has been  stolen by my cousin Bandhu. Bandhu is as  dishonorable as he is attractive.', 'Dopinder, I am starting to think I am inthis cab for a reason.', 'Because you hailed it?', 'No, my slender brown friend... to giveyou one crucial piece of advice Love...  is a beautiful thing. When it finds you, the whole world smells like Daffodil  Daydream. Page 3119Deadpools own heartbreak is palpable. He takes another  deep, cleansing BREATH. Deadpool Final Shooting Script 111615 3. 1 ', 'So hold onto love tight. Go at Bandhu  hard. Get Gita back. Or else... the  whole world will taste like Mama June  after hot yoga.', 'And how does Ms. Mama June taste?', 'Like two hobos making love under adrizzle of Limburger I could go all daylike this. Point is, bad. Deadpool chucks the bag of Corn Nuts into the back seat and  pulls out his PISTOLS. He starts CHAMBERING shells into two  magazines. Suddenly, he frantically pats himself down, like a Hollywoodagent who cant find his phone.', 'Shiiiit. My extra mags I usually leavethem right by the door so I willl trip overthem Someone must have moved them... 2 ']"," DEADPOOL, in full DRESS REDS and MASK, quietly FIDGETS in theBACK SEAT of a TAXI CAB as it proceeds along a CITY FREEWAY. Deadpool adjusts the two KATANAS strapped to his back. Rolls  the WINDOWS up, down, up. Tries futilely to untwist theseatbelt, then LUNGES forward, locking it up. Rifles througha tourist booklet and tears out a HAUNTED SEGWAY TOUR coupon. The CABBIE, young, thin, brown, glances back and forth fromthe rear view to the road to the rear view. DEADPOOL  Kinda lonesome back here. back seat and front. His two katanas dont  cooperate, catching on the Plexiglas, stalling him midtorso. DEADPOOL  Little help? The cabbie grabs Deadpools hand and pulls him through to thefront. Deadpools head rests upside down on the bench seatas he maneuvers his legs through. The cabbie turns the  helping hand into a HANDSHAKE, then turns down the Juice. CABBIE  Dopinder. DEADPOOL  Pool. Deadpool. Dopinder is remarkably UNAFFECTED by the lunatic in his cab. DOPINDER  Why the fancy red suit, Mr. Pool? DEADPOOL Its like Christmas Day, Dopinder. Been waiting one thousand eight hundred twenty two days, three hours... and thirtysix minutes for this shit. Page 2119 Deadpool Final Shooting Script 111615 2. 1  DEADPOOL turns himself RIGHTSIDEUP in the front seat. He  is YOKED to the gills and ARMED to the teeth. TWIN KATANAS.  TWIN DESERT EAGLE .50 CALIBER PISTOLS. Deadpool grabs Dopinders OPEN BAG of CORN NUTS. Dopinderisnt quick enough to stop him. Deadpool gazes out thewindow onto the city  a teeming, sooty urban sprawl thatlooks almost... prepostapocalyptic. Deadpool turns up his MASK. Dopinder catches a GLIMPSE ofthe bottom of a SCARRED face. And quickly looks AWAY. Deadpool eats the CORN NUTS. CRUNCH. CRUNCH. Points. DEADPOOL  Nice. Dopinder eyes his DAFFODIL DAYDREAM AIR FRESHENER and takes adeep breath through his nose. DOPINDER  Smells good, no? DEADPOOL  Not the Daffodil Daydream. The girl. A PICTURE of a young INDIAN WOMAN is taped to the dash. DOPINDER  Ah yes. Gita. She is quite lovely. She  was supposed to make me a very agreeablewife. Mom and Dad chose her rather  excellently. But Gitas heart has been  stolen by my cousin Bandhu. Bandhu is as  dishonorable as he is attractive. DEADPOOL  Dopinder, I am starting to think I am inthis cab for a reason. DOPINDER  Because you hailed it? DEADPOOL  No, my slender brown friend... to giveyou one crucial piece of advice Love...  is a beautiful thing. When it finds you, the whole world smells like Daffodil  Daydream. Page 3119Deadpools own heartbreak is palpable. He takes another  deep, cleansing BREATH. Deadpool Final Shooting Script 111615 3. 1  DEADPOOL  So hold onto love tight. Go at Bandhu  hard. Get Gita back. Or else... the  whole world will taste like Mama June  after hot yoga. DOPINDER  And how does Ms. Mama June taste? DEADPOOL  Like two hobos making love under adrizzle of Limburger I could go all daylike this. Point is, bad. Deadpool chucks the bag of Corn Nuts into the back seat and  pulls out his PISTOLS. He starts CHAMBERING shells into two  magazines. Suddenly, he frantically pats himself down, like a Hollywoodagent who cant find his phone. DEADPOOL  Shiiiit. My extra mags I usually leavethem right by the door so I willl trip overthem Someone must have moved them... 2 "
1,INT. DEADPOOL’S LAIR  DAY 2,"A blind late70s AFRICANAMERICAN WOMAN in a purple floraldress enters the front door, falls as she trips over an IHEART HELLO KITTY DUFFEL BAG of AMMUNITION, PICKS it UP,  and CARRIES it OFF. 3 INT.",,," A blind late70s AFRICANAMERICAN WOMAN in a purple floraldress enters the front door, falls as she trips over an IHEART HELLO KITTY DUFFEL BAG of AMMUNITION, PICKS it UP,  and CARRIES it OFF. 3 INT."
2,EXT. TAXI CAB  MORNING 3,,"['DOPINDER', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DOPINDER', 'DEADPOOL', 'DOPINDER']","['Shall we turn back?', 'No time. Not today. Ten, eleven, twelve... or bust.  Right here The cab SCREECHES to a stop on the shoulder of the highest  FREEWAY in a massive INTERCHANGE of freeways. Dopinder haltsthe meter and Page 4119hands Deadpool his CARD.', 'My card. Thats 27.50. Deadpool Final Shooting Script 111615 4. 3 ', ""Oooo. I never carry a wallet when I am working. Ruins the lines of my suit. How 'bout a crisp high five? Dopinder stares as he and Deadpool slap skin. Deadpool GETSOUT of the cab."", 'Be sure to... ask for me again?', 'I owe you one. Merry Christmas, Dopinder.', 'And a convivial... Tuesday in April to you, Pool... Guy. Deadpool closes the door with a flourish. Boom. 4 EXT.INT. THE RAFT PRISON  MORNING 4 A bonewhite ISLAND PRISON, affectionately nicknamed TheRaft, looms ominously in a CITY HARBOR. Etched in helvetica into the prison wall No punishment hasever possessed enough power of deterrence to prevent thecommission of crimes.  Hannah Arendt. Below it, GRAFFITIED  in RED SPRAY PAINT Until NOW The prisons FRONT DOORS OPEN, and out steps a handcuffedPRISONER, 30s, ORANGE JUMPSUIT, broad shoulders, whipsmart, tightly coiled, with cool, deadblue eyes. BURLY GUARDS  guide him across a CAUSEWAY toward a CONVOY of Escalades andDucatis on shore. The middle Escalades door opens. The prisoner stops. The  guards unlock his CUFFS.']"," DOPINDER  Shall we turn back? DEADPOOL  No time. Not today. Ten, eleven, twelve... or bust.  Right here The cab SCREECHES to a stop on the shoulder of the highest  FREEWAY in a massive INTERCHANGE of freeways. Dopinder haltsthe meter and Page 4119hands Deadpool his CARD. DOPINDER  My card. Thats 27.50. Deadpool Final Shooting Script 111615 4. 3  DEADPOOL Oooo. I never carry a wallet when I am working. Ruins the lines of my suit. How 'bout a crisp high five? Dopinder stares as he and Deadpool slap skin. Deadpool GETSOUT of the cab. DOPINDER  Be sure to... ask for me again? DEADPOOL I owe you one. Merry Christmas, Dopinder. DOPINDER And a convivial... Tuesday in April to you, Pool... Guy. Deadpool closes the door with a flourish. Boom. 4 EXT.INT. THE RAFT PRISON  MORNING 4 A bonewhite ISLAND PRISON, affectionately nicknamed TheRaft, looms ominously in a CITY HARBOR. Etched in helvetica into the prison wall No punishment hasever possessed enough power of deterrence to prevent thecommission of crimes.  Hannah Arendt. Below it, GRAFFITIED  in RED SPRAY PAINT Until NOW The prisons FRONT DOORS OPEN, and out steps a handcuffedPRISONER, 30s, ORANGE JUMPSUIT, broad shoulders, whipsmart, tightly coiled, with cool, deadblue eyes. BURLY GUARDS  guide him across a CAUSEWAY toward a CONVOY of Escalades andDucatis on shore. The middle Escalades door opens. The prisoner stops. The  guards unlock his CUFFS. GUARD  You are someone elses problem now. The exprisoner STRETCHES his arms and strides TOWARD the  Page 5119convoy. PRISONER  Yes. I. Am. CUE SALT & PEPAS SHOOP Deadpool Final Shooting Script 111615 5. 5 "
3,EXT. FREEWAY OVERPASS  DAY 5,"DEADPOOL sits on the edge of the highest freeway on theoverpass, legs dangling over the side like Huck Finn.","['DEADPOOL', 'DEADPOOL']","['Can I get some fries with that shake shake boobie? If looks could kill you would be an uzi. Deadpool is using some broken CRAYONS to draw something on ascrap of paper.', 'Oh, hello, Deadpool here. You may be wondering whose balls I had to fondle to get my own movie. Rhymes with Polverine. Couplea smooth criminals.']"," DEADPOOL sits on the edge of the highest freeway on theoverpass, legs dangling over the side like Huck Finn. DEADPOOL Can I get some fries with that shake shake boobie? If looks could kill you would be an uzi. Deadpool is using some broken CRAYONS to draw something on ascrap of paper. REVERSE  in the head, brains blowing  out. The victims thought bubble reads OUCHIE Even throughthe mask, Deadpool looks pleased by this. He turns to CAMERA DEADPOOL  Oh, hello, Deadpool here. You may be wondering whose balls I had to fondle to get my own movie. Rhymes with Polverine. Couplea smooth criminals. ALT In a word, gorgeous. ALT Surprisingly little hair down there. ALT Its a jungle down there. ALT Thick underbrush. Anyway, I smell Oscar. The suits gonna match the carpet. Now... places to be... faces to fix... bad guys to kill... tangle of ramps. Page 61196 "
4,EXT. REMOTE AIRFIELD  MORNING 6,"AJAX, 30s, deadblue eyes, broad shoulders, whipsmart, tightly coiled stands at ease on a cracked and blistered  tarmac. Behind him, a HEAVILY ARMED CONVOY OF DUCATIS and  ESCALADES. FOUR LARGE ALUMINUM CARGO CRATES sit beside him. Ajax squints into the sun as A BELL HELICOPTER thrashes the  air above him, kicking up dust as it lands. Deadpool Final Shooting Script 111615 6. 6  A SERBIAN WARLORD, mid50s, sharply dressed, armoredBRIEFCASE in hand, climbs out. He is surrounded by ARMEDGUARDS. The Warlord places the BRIEFCASE on the FOREMOST CRATE. Ajaxpops the case... to find STACKS upon STACKS of THOUSANDDOLLAR BILLS. Satisfied, he closes the briefcase and hands  it to one of his men.","['AJAX', 'AJAX', 'AJAX', 'AJAX']","['They wont disappoint.', 'There wont be one. Demand is high. You  arent the only one with a war to win.', 'Theres been a small... disruption in oursupply chain. We willl deliver in full the  following month. Say, ten percent offfor the inconvenience? The Warlord manages to nod in acquiescence. Ajax smilesagain, lowers him gasping to the ground.', 'Page 7119We appreciate your business. Ajax spins and walks purposefully toward the line of waitingSUVs. The warlord angrily motions for his men to begin loading thecrates into the helicopter, which they do.']"," AJAX, 30s, deadblue eyes, broad shoulders, whipsmart, tightly coiled stands at ease on a cracked and blistered  tarmac. Behind him, a HEAVILY ARMED CONVOY OF DUCATIS and  ESCALADES. FOUR LARGE ALUMINUM CARGO CRATES sit beside him. Ajax squints into the sun as A BELL HELICOPTER thrashes the  air above him, kicking up dust as it lands. Deadpool Final Shooting Script 111615 6. 6  A SERBIAN WARLORD, mid50s, sharply dressed, armoredBRIEFCASE in hand, climbs out. He is surrounded by ARMEDGUARDS. The Warlord places the BRIEFCASE on the FOREMOST CRATE. Ajaxpops the case... to find STACKS upon STACKS of THOUSANDDOLLAR BILLS. Satisfied, he closes the briefcase and hands  it to one of his men. AJAX  They wont disappoint. WARLORD  They had better not. And next months  shipment? AJAX  There wont be one. Demand is high. You  arent the only one with a war to win. WARLORD  That wont do. Both sets of armed thugs shift to ready positions. Ajax smiles calmly, but his free hand DARTS OUT and CASUALLYLIFTS the warlord into the air by the THROAT. Fingers findtriggers on both sides. AJAX  Theres been a small... disruption in oursupply chain. We willl deliver in full the  following month. Say, ten percent offfor the inconvenience? The Warlord manages to nod in acquiescence. Ajax smilesagain, lowers him gasping to the ground. AJAX  Page 7119We appreciate your business. Ajax spins and walks purposefully toward the line of waitingSUVs. The warlord angrily motions for his men to begin loading thecrates into the helicopter, which they do. WARLORD  Fucking mutant. Deadpool Final Shooting Script 111615 7. 6  Behind him the convoy of SUVs and motorcycles pull out, falling into line as they accelerate past the rows ofderelict aircraft. 7 "
5,EXT. FREEWAY OVERPASS  DAY 7,DEADPOOL watches as the convoy approaches. He CASUALLY getsup as if standing up out of an easy chair...,['DEADPOOL'],"['On your mark, get set, go, let me go, let me shoop... He PIROUETTES, and DROPS an entire level DOWN... 8 ']"," DEADPOOL watches as the convoy approaches. He CASUALLY getsup as if standing up out of an easy chair... DEADPOOL On your mark, get set, go, let me go, let me shoop... He PIROUETTES, and DROPS an entire level DOWN... 8 "
6,INT. ESCALADE  MORNING 8,"THROUGH the SUNROOF of an ESCALADE. SMASH There are FOUR HUGE BADASSES inside the S.U.V., two in  front, two behind. Deadpool lands backmiddle in a HAILSTORMof GLASS. He stuns the men to both sides with elbows to the  face as he raises his arms in greeting.","['DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL', 'DEADPOOL']","['Hola Me llamo Piscina De La Muerte Hello My name is the Pool of Death. Theres no easy way to say this. I am pregnant, Trevor.', 'Rich... Corinthian... Leather. Deadpool HURLS the man through THROUGH the TAILGATE WINDOW. The man clutches the TAILGATE, DRAGGED behind the S.U.V.  Deadpool sticks his head between the two guys in FRONT. Deadpool Final Shooting Script 111615 8. 8 ', 'Scuse, por favor The DRIVER SLAMS Deadpools head into the console repeatedly.', 'Ow. Ow. Ow. Ow. Ow. Deadpool squirms away and WRESTLES VIOLENTLY with the guy inthe PASSENGER SEAT. He GRABS the PASSENGER SEATBELT, TIES it around the guysANKLE, and KICKS him out the PASSENGER SIDE DOOR. The guysHEAD and SHOULDERS SMACK pavement, where hes DRAGGEDmercilessly by his ANKLE  a modern COWBOY whose boot justgot stuck in his horses STIRRUP. Deadpool grabs the driver by the HAIR on the BACK of his HEADand BANGS his FOREHEAD into The horn. HONK. HONK. The stereo. Every time the driversforehead SMACKS the face of the stereo, the RADIO STATION ', 'Loved your work in Daredevil. Deadpool stuffs the lighter INTO the mans mouth and CLAMPShis hand over it. Deadpool Final Shooting Script 111615 9. 8  The man hollers in muffled agony. A MOTORCYCLE has pulledAHEAD of the ESCALADE and now sits, STOPPED, in its path. The helmeted RIDER OPENS FIRE with a SUBMACHINE GUN. Deadpool has one hand grasped on the back of the driversneck, still mashing his face into the window glass, and theOTHER hand still clamped over the second mans mouth. He  plants both FEET on the steering wheel and drives, spinningthe wheel, sending the S.U.V. into... a ROLL. The Escalade goes ENDO, SOMERSAULTING WILDLY. Suddenly, the ACTION BEGINS TO SLOW... The motorcycle RIDER tries to bail out. NO LUCK. The  tumbling Escalade PLOWS RIGHT INTO him AND his bike. Parts scatter off the motorcycle, including its CHAIN. The  RIDER continues to SQUEEZE off ROUNDS as he goes FLYING. Inside the Escalade, Deadpool goes SPINCYCLE. The DRIVER  flies through the sunroof, tearing out its remaining glass. BLOOD spatters. The other man spits out the glowingCIGARETTE LIGHTER. The guy whose ankle is still tangled inthe seatbelt FLAILS through the air like a ragdoll, AHABtied to MOBY DICK. The action CONTINUES to SLOW... until it FREEZES. The camera swoops in to Deadpools face, upside down. HE TURNS HIS HEAD TO CAMERA FOR THE FIRST TIME, BREAKING THE  FOURTH WALL, THE ONLY THING IN THE SCENE THATS MOVING', 'Shit. Did I leave the stove on? We RAMP back UP to FULL SPEED. The S.U.V. CARTWHEELS. The  guys ankle untangles from the seatbelt. He FLIES hightoward a big HIGHWAY EXIT SIGN and... SPLAT... out of frame. The RIDERs NECK is SLICED by the flying MOTORCYCLE CHAIN. The DRIVER is halfway out the SUNROOF when the S.U.V. rollsover him. SQUISH. The man who ate the CIGARETTE LIGHTER now eats pavement. VX8 ']"," THROUGH the SUNROOF of an ESCALADE. SMASH There are FOUR HUGE BADASSES inside the S.U.V., two in  front, two behind. Deadpool lands backmiddle in a HAILSTORMof GLASS. He stuns the men to both sides with elbows to the  face as he raises his arms in greeting. DEADPOOL  Hola Me llamo Piscina De La Muerte Hello My name is the Pool of Death. Theres no easy way to say this. I am pregnant, Trevor. ALT Any of you seen Green Lantern? Me neither. BOOM MAYHEM ERUPTS as the two men in back find themselves  sharing a phone booth with the TASMANIAN DEVIL ELBOWS.  FOREARMS. KNEES. CRACKING. CRUNCHING. SCREAMING. From BEHIND, the Escalade BUCKS and BOUNCES down the road on  its suspension, almost CARTOONLIKE. Page 8119A brutal punch spins Deadpool UPSIDEDOWN, and he rolls withit, uses his FEET to BREAK the mans NECK. The other man  stomps on his head, then drags him up and SMUSHES Deadpoolsface into the seats premium trim. DEADPOOL  Rich... Corinthian... Leather. Deadpool HURLS the man through THROUGH the TAILGATE WINDOW. The man clutches the TAILGATE, DRAGGED behind the S.U.V.  Deadpool sticks his head between the two guys in FRONT. Deadpool Final Shooting Script 111615 8. 8  DEADPOOL  Scuse, por favor The DRIVER SLAMS Deadpools head into the console repeatedly. DEADPOOL  Ow. Ow. Ow. Ow. Ow. Deadpool squirms away and WRESTLES VIOLENTLY with the guy inthe PASSENGER SEAT. He GRABS the PASSENGER SEATBELT, TIES it around the guysANKLE, and KICKS him out the PASSENGER SIDE DOOR. The guysHEAD and SHOULDERS SMACK pavement, where hes DRAGGEDmercilessly by his ANKLE  a modern COWBOY whose boot justgot stuck in his horses STIRRUP. Deadpool grabs the driver by the HAIR on the BACK of his HEADand BANGS his FOREHEAD into The horn. HONK. HONK. The stereo. Every time the driversforehead SMACKS the face of the stereo, the RADIO STATION  CHANGES MARIACHI. DR. DREW. MONSTER TRUCK COMMERCIAL SUNDAY, SUNDAY, SUNDAY. One more SMACK to get us back toMARIACHI. Deadpool looks in the REAR VIEW MIRROR to see the man in backCRAWL up the tailgate. Deadpool PUSHES in the Cadillacs CIGARETTE LIGHTER. Back to the DRIVER. Deadpool BASHES his face into theDRIVERs SIDE WINDOW. THUMP. THUMP. THUMP. We are now OUTSIDE the Escalade, seeing the driversexpression take on a ridiculous sillyputtyesque grimace ofpain every time its MUSHED into the glass. The man in back scrambles forward. The CIGARETTE LIGHTER  POPS OUT. Deadpool YANKS the EMERGENCY BRAKE. The man in  back LAUNCHES forward and SMACKS the DASHBOARD. Deadpool STABS the now ORANGEHOT lighter into the mansforehead, burning Page 9119the COIL PATTERN into his skin. The man  SCREAMS. DEADPOOL  Loved your work in Daredevil. Deadpool stuffs the lighter INTO the mans mouth and CLAMPShis hand over it. Deadpool Final Shooting Script 111615 9. 8  The man hollers in muffled agony. A MOTORCYCLE has pulledAHEAD of the ESCALADE and now sits, STOPPED, in its path. The helmeted RIDER OPENS FIRE with a SUBMACHINE GUN. Deadpool has one hand grasped on the back of the driversneck, still mashing his face into the window glass, and theOTHER hand still clamped over the second mans mouth. He  plants both FEET on the steering wheel and drives, spinningthe wheel, sending the S.U.V. into... a ROLL. The Escalade goes ENDO, SOMERSAULTING WILDLY. Suddenly, the ACTION BEGINS TO SLOW... The motorcycle RIDER tries to bail out. NO LUCK. The  tumbling Escalade PLOWS RIGHT INTO him AND his bike. Parts scatter off the motorcycle, including its CHAIN. The  RIDER continues to SQUEEZE off ROUNDS as he goes FLYING. Inside the Escalade, Deadpool goes SPINCYCLE. The DRIVER  flies through the sunroof, tearing out its remaining glass. BLOOD spatters. The other man spits out the glowingCIGARETTE LIGHTER. The guy whose ankle is still tangled inthe seatbelt FLAILS through the air like a ragdoll, AHABtied to MOBY DICK. The action CONTINUES to SLOW... until it FREEZES. The camera swoops in to Deadpools face, upside down. HE TURNS HIS HEAD TO CAMERA FOR THE FIRST TIME, BREAKING THE  FOURTH WALL, THE ONLY THING IN THE SCENE THATS MOVING DEADPOOL  Shit. Did I leave the stove on? We RAMP back UP to FULL SPEED. The S.U.V. CARTWHEELS. The  guys ankle untangles from the seatbelt. He FLIES hightoward a big HIGHWAY EXIT SIGN and... SPLAT... out of frame. The RIDERs NECK is SLICED by the flying MOTORCYCLE CHAIN. The DRIVER is halfway out the SUNROOF when the S.U.V. rollsover him. SQUISH. The man who ate the CIGARETTE LIGHTER now eats pavement. VX8 "
7,EXT. XMANSION  DAY VX8,A sign reads PROFESSOR XAVIERS SCHOOL FOR GIFTED  Page 10119YOUNGSTERS. Deadpool Final Shooting Script 111615 10. VX8,['REPORTER'],['Breaking news. A multicar collision turns shots fired on the crosstown expressway... The sign sits on the perfectly manicured front lawn of thegorgeous Gothic XMANSION. VX8 '], A sign reads PROFESSOR XAVIERS SCHOOL FOR GIFTED  Page 10119YOUNGSTERS. Deadpool Final Shooting Script 111615 10. VX8  REPORTER  Breaking news. A multicar collision turns shots fired on the crosstown expressway... The sign sits on the perfectly manicured front lawn of thegorgeous Gothic XMANSION. VX8 
8,INT. KITCHEN  CONTINUOUS VX8,"The XMens COLOSSUS. A GOODNATURED GIANT with CHROME METAL  FOR SKIN. BIG AS A BARN. OTHERWORLDLY STRONG. He is  sitting in the kitchen, eating a bowl of GRAPE NUTS andfinishing a SUDOKU, his attention suddenly drawn to aTELEVISION SCREEN",['REPORTER'],"['The assailant appears to be wearing a... COLOSSUS REPORTER  Red suit? Red suit. With an audible CRACK, the pencil in Colossus thick fingers  snaps. He rises, muttering Russian curses and stalks fromthe kitchen. VC8 ']"," The XMens COLOSSUS. A GOODNATURED GIANT with CHROME METAL  FOR SKIN. BIG AS A BARN. OTHERWORLDLY STRONG. He is  sitting in the kitchen, eating a bowl of GRAPE NUTS andfinishing a SUDOKU, his attention suddenly drawn to aTELEVISION SCREEN REPORTER  The assailant appears to be wearing a... COLOSSUS REPORTER  Red suit? Red suit. With an audible CRACK, the pencil in Colossus thick fingers  snaps. He rises, muttering Russian curses and stalks fromthe kitchen. VC8 "
9,INT. HANGAR  MOMENTS LATER VC8,"Massive STEEL BLAST DOORS emblazoned with a huge X slideopen to reveal COLOSSUS. He walks quickly and purposefullytowards a big plane in the center of the huge space the  BIRD, the XMens modified XR71 jet transport. Struggling to keep up with the giants long strides is asupernaturally E, supernaturally DEADPAN 15YEAROLD GIRL,  in an XMEN outfit. NEGASONIC TEENAGE WARHEAD.","['COLOSSUS', 'COLOSSUS']","['I have given Deadpool every chance to join us. And what is my reward? More immaturity and criminality When will he finally grow up and see benefits of becoming XMan?', 'You ate breakfast, yes? Breakfast is most important meal of day. Here. Protein bar, good for bones. Deadpool may try to break yours. NTW shoves the bar in a pocket of her coat without breakingstride. 9 ']"," Massive STEEL BLAST DOORS emblazoned with a huge X slideopen to reveal COLOSSUS. He walks quickly and purposefullytowards a big plane in the center of the huge space the  BIRD, the XMens modified XR71 jet transport. Struggling to keep up with the giants long strides is asupernaturally E, supernaturally DEADPAN 15YEAROLD GIRL,  in an XMEN outfit. NEGASONIC TEENAGE WARHEAD. COLOSSUS I have given Deadpool every chance to join us. And what is my reward? More immaturity and criminality When will he finally grow up and see benefits of becoming XMan? NTW Like... The house that blows up every few years? The fashionforward jumpsuits? I need to get myself kicked out of X School. Page 11119COLOSSUS  But I thought you were at top of class. Deadpool Final Shooting Script 111615 11. VC8  NTW  Was that sarcasm? Awesome. COLOSSUS You ate breakfast, yes? Breakfast is most important meal of day. Here. Protein bar, good for bones. Deadpool may try to break yours. NTW shoves the bar in a pocket of her coat without breakingstride. 9 "
